country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
England,1999-00,E1,36,2000-03-11,5season,13,6,0.46153846153846156,1.2644367159437808,0.7393353895974126,0.2966607857867612
England,1999-00,E1,37,2000-03-14,5season,11,2,0.18181818181818182,1.229825220341524,0.7537577559403211,0.257657839184112
England,1999-00,E1,38,2000-03-18,5season,12,9,0.75,0.9137491381193698,0.5281560886412598,0.22496201250108194
England,1999-00,E1,39,2000-03-21,5season,12,7,0.5833333333333334,0.8725197896152057,0.5103135922353745,0.16098742231856025
England,1999-00,E1,40,2000-03-25,5season,14,8,0.5714285714285714,0.9856284310113184,0.5956637566847595,0.1800312937624645
England,1999-00,E1,41,2000-04-08,5season,12,6,0.5,0.9489234235959924,0.573801444967292,0.13766124727607737
England,1999-00,E1,42,2000-04-14,5season,13,5,0.38461538461538464,1.188842950079279,0.7173370416122304,0.23483958398509258
England,1999-00,E1,43,2000-04-21,5season,12,5,0.4166666666666667,1.0673811622140603,0.6578184630329215,0.2163316043832767
England,1999-00,E1,44,2000-04-24,5season,11,6,0.5454545454545454,0.9510734665762932,0.5671498663721767,0.14436281989725558
England,1999-00,E1,45,2000-04-28,5season,13,9,0.6923076923076923,0.9911682491502145,0.5857312333452138,0.2367850638458574
England,1999-00,E1,46,2000-05-07,5season,12,4,0.3333333333333333,1.1252970176036803,0.6846400607610567,0.2664580843185775
England,1999-00,E2,1,1999-08-07,5season,12,5,0.4166666666666667,1.0353794468526938,0.6247369731496543,0.1998319383675354
England,1999-00,E2,2,1999-08-14,5season,12,7,0.5833333333333334,1.029443446294344,0.6095142490933944,0.24728787166218158
England,1999-00,E2,3,1999-08-21,5season,12,6,0.5,0.9658527390937771,0.5703668769930799,0.1726756866745349
England,1999-00,E2,4,1999-08-28,5season,12,6,0.5,0.9939817690566292,0.5949168580195798,0.18491917720699802
England,1999-00,E2,5,1999-08-30,5season,9,3,0.3333333333333333,1.1154875466890664,0.68607108789558,0.18155469681305614
England,1999-00,E2,6,1999-09-03,5season,10,3,0.3,1.1312585621996565,0.6865679690152369,0.23808978083564444
England,1999-00,E2,7,1999-09-11,5season,13,8,0.6153846153846154,0.9823050649050776,0.5814733034461429,0.21773227889854818
England,1999-00,E2,8,1999-09-18,5season,13,7,0.5384615384615384,0.97603610915946,0.5756286102581005,0.1809584720990154
