Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,02/12/01,Bologna,Torino,1,0,H,1,0,H,1.77,3.1,4.4,1.85,3.0,3.8,1.83,2.8,4.5,1.8,2.9,4.5,1.73,3.1,4.5,1.8,3.1,4.0,1682.79,1698.09
I1,02/12/01,Fiorentina,Piacenza,1,3,A,0,1,A,1.85,3.05,4.15,1.8,3.1,3.8,1.8,2.87,4.5,1.8,3.0,4.2,1.8,3.0,4.33,1.83,2.87,4.33,1647.48,1619.37
I1,02/12/01,Lecce,Lazio,1,2,A,0,0,D,3.4,3.0,2.05,3.2,2.9,2.1,3.0,3.0,2.2,3.2,3.0,2.1,3.6,2.88,2.0,3.25,2.75,2.2,1647.9,1842.5
I1,02/12/01,Milan,Chievo,3,2,H,1,2,A,1.55,3.4,5.6,1.55,3.4,5.0,1.53,3.5,5.5,1.5,3.5,6.0,1.53,3.4,5.5,1.5,3.25,6.5,1764.69,1715.32
I1,02/12/01,Roma,Venezia,1,0,H,0,0,D,1.19,5.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.22,5.0,10.0,1.17,5.5,12.0,1.16,5.0,15.0,1848.92,1598.47
I1,02/12/01,Udinese,Parma,3,2,H,2,2,D,2.4,2.9,2.9,2.3,2.9,2.8,2.37,2.87,2.8,2.4,2.88,2.8,2.4,2.88,2.75,2.37,2.9,2.8,1635.65,1721.72
I1,02/12/01,Verona,Brescia,2,0,H,1,0,H,2.1,2.9,3.4,2.0,2.9,3.4,2.0,3.0,3.4,2.1,2.9,3.3,2.1,2.88,3.3,2.1,2.75,3.5,1670.05,1711.81
I1,08/12/01,Piacenza,Bologna,2,0,H,0,0,D,2.3,2.9,2.95,2.3,2.7,3.0,2.37,2.8,2.87,2.38,2.88,2.88,2.3,2.88,2.9,2.4,2.8,2.87,1636.28,1692.3
I1,09/12/01,Brescia,Inter,1,3,A,1,1,D,3.55,3.0,2.0,3.2,2.9,2.1,3.6,2.87,2.0,3.5,3.0,2.0,3.4,2.8,2.1,3.75,3.0,1.9,1701.39,1790.73
I1,09/12/01,Chievo,Lecce,2,1,H,1,0,H,1.6,3.25,5.4,1.7,3.2,4.2,1.61,3.25,5.0,1.62,3.25,5.0,1.62,3.25,5.0,1.61,3.3,5.0,1707.89,1638.72
I1,09/12/01,Lazio,Fiorentina,3,0,H,1,0,H,1.26,4.65,9.25,1.3,4.2,8.0,1.3,4.0,9.0,1.25,4.5,10.0,1.29,4.33,8.5,1.25,4.5,10.0,1851.68,1630.57
I1,09/12/01,Milan,Juventus,1,1,D,1,0,H,,,,2.3,2.7,3.0,2.25,2.87,3.0,2.2,2.88,3.2,2.25,2.88,3.0,2.25,2.8,3.1,1772.12,1856.48
I1,09/12/01,Parma,Roma,1,2,A,1,0,H,2.87,2.95,2.31,2.6,2.8,2.6,3.0,2.87,2.25,2.9,3.0,2.25,3.0,2.88,2.25,2.87,2.8,2.4,1709.72,1851.85
I1,09/12/01,Perugia,Venezia,2,0,H,1,0,H,1.7,3.2,4.65,1.7,3.2,4.2,1.8,2.87,4.5,1.73,3.1,4.5,1.73,3.1,4.5,1.66,3.1,5.0,1638.13,1595.54
I1,09/12/01,Torino,Atalanta,1,2,A,1,1,D,2.05,3.0,3.4,2.0,2.9,3.4,2.0,2.87,3.6,2.0,3.0,3.5,1.91,3.0,3.75,2.0,2.87,3.6,1688.58,1653.99
I1,09/12/01,Udinese,Verona,2,1,H,0,0,D,2.0,3.0,3.55,2.0,2.9,3.4,1.91,3.0,3.75,1.95,3.0,3.75,1.91,3.1,3.6,2.0,2.87,3.6,1647.65,1680.47
I1,15/12/01,Inter,Chievo,1,2,A,1,1,D,1.48,3.5,6.5,1.5,3.5,5.4,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.6,6.5,1.44,3.6,6.5,1803.61,1714.74
I1,16/12/01,Atalanta,Parma,4,1,H,2,0,H,2.25,2.9,3.05,2.4,2.9,2.7,2.2,2.8,3.2,2.2,2.88,3.2,2.1,3.0,3.2,2.25,2.87,3.0,1671.1,1698.73
I1,16/12/01,Bologna,Perugia,2,1,H,2,1,H,1.6,3.25,5.45,1.7,3.2,4.2,1.67,2.87,5.5,1.67,3.0,5.5,1.62,3.25,5.0,1.66,2.9,5.5,1681.37,1645.77
I1,16/12/01,Fiorentina,Brescia,1,0,H,0,0,D,2.2,3.0,3.05,2.1,2.9,3.2,2.2,3.0,3.0,2.2,3.0,3.0,2.2,3.1,2.88,2.1,3.0,3.2,1627.17,1688.51
I1,16/12/01,Juventus,Piacenza,2,0,H,1,0,H,1.25,4.6,10.0,1.25,4.5,9.0,1.3,4.0,9.0,1.3,4.2,9.0,1.29,4.33,8.5,1.3,4.0,9.5,1857.04,1647.21
I1,16/12/01,Lecce,Torino,1,1,D,0,0,D,1.9,3.0,3.9,1.9,3.0,3.6,1.91,2.87,4.0,1.91,3.0,3.75,1.91,2.88,4.0,1.9,2.87,4.0,1631.87,1671.47
I1,16/12/01,Roma,Milan,1,0,H,1,0,H,2.03,3.0,3.45,2.0,2.9,3.4,2.0,3.0,3.4,2.05,2.9,3.5,2.0,2.88,3.6,2.1,2.75,3.5,1862.84,1771.56
I1,16/12/01,Venezia,Udinese,2,1,H,1,0,H,2.55,2.95,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.5,3.0,2.6,2.6,2.9,2.5,2.37,3.1,2.62,1587.9,1657.76
I1,16/12/01,Verona,Lazio,3,1,H,2,0,H,3.2,2.95,2.15,3.0,2.9,2.2,3.2,3.0,2.1,3.2,2.9,2.15,3.1,2.88,2.2,3.1,2.87,2.2,1670.36,1855.08
I1,19/12/01,Atalanta,Milan,1,1,D,1,0,H,3.0,2.95,2.25,3.0,2.9,2.2,3.2,2.8,2.2,3.0,2.9,2.25,3.1,2.88,2.2,3.0,2.8,2.3,1681.03,1765.32
